Region,Year,Age,count_diff,rate_ratio
EAW,1906,0,14245,1.23
EAW,1906,1,986,1.06
EAW,1906,2,440,1.08
EAW,1906,3,-23,0.99
EAW,1906,4,27,1.01
EAW,1906,5,3,1
EAW,1906,6,-55,0.97
EAW,1906,7,-97,0.93
EAW,1906,8,-122,0.89
EAW,1906,9,-129,0.86
EAW,1906,10,-122,0.85
EAW,1906,11,-105,0.86
EAW,1906,12,-80,0.9
EAW,1906,13,-47,0.95
EAW,1906,14,-7,1.01
EAW,1906,15,38,1.07
EAW,1906,16,73,1.12
EAW,1906,17,96,1.16
EAW,1906,18,107,1.19
EAW,1906,19,105,1.19
EAW,1906,20,92,1.18
EAW,1906,21,80,1.16
EAW,1906,22,71,1.13
EAW,1906,23,64,1.12
EAW,1906,24,60,1.12
EAW,1906,25,59,1.14
EAW,1906,26,60,1.16
EAW,1906,27,62,1.15
EAW,1906,28,67,1.16
EAW,1906,29,73,1.16
EAW,1906,30,81,1.16
EAW,1906,31,91,1.16
EAW,1906,32,104,1.18
EAW,1906,33,118,1.19
EAW,1906,34,134,1.19
EAW,1906,35,151,1.19
EAW,1906,36,169,1.19
EAW,1906,37,187,1.2
EAW,1906,38,206,1.23
EAW,1906,39,224,1.24
EAW,1906,40,243,1.22
EAW,1906,41,262,1.23
EAW,1906,42,281,1.25
EAW,1906,43,300,1.26
EAW,1906,44,320,1.27
EAW,1906,45,339,1.26
EAW,1906,46,358,1.26
EAW,1906,47,375,1.27
EAW,1906,48,392,1.3
EAW,1906,49,408,1.3
EAW,1906,50,422,1.3
EAW,1906,51,436,1.29
EAW,1906,52,448,1.3
EAW,1906,53,460,1.32
EAW,1906,54,471,1.32
EAW,1906,55,479,1.32
EAW,1906,56,482,1.31
EAW,1906,57,478,1.3
EAW,1906,58,468,1.31
EAW,1906,59,450,1.33
EAW,1906,60,426,1.33
EAW,1906,61,395,1.31
EAW,1906,62,358,1.29
EAW,1906,63,313,1.27
EAW,1906,64,262,1.26
EAW,1906,65,205,1.26
EAW,1906,66,146,1.27
EAW,1906,67,84,1.27
EAW,1906,68,21,1.28
EAW,1906,69,-43,1.26
EAW,1906,70,-110,1.25
EAW,1906,71,-178,1.24
EAW,1906,72,-248,1.23
EAW,1906,73,-319,1.21
EAW,1906,74,-393,1.2
EAW,1906,75,-465,1.19
EAW,1906,76,-527,1.16
EAW,1906,77,-576,1.15
EAW,1906,78,-611,1.15
EAW,1906,79,-634,1.15
EAW,1906,80,-643,1.16
EAW,1906,81,-640,1.16
EAW,1906,82,-623,1.17
EAW,1906,83,-593,1.19
EAW,1906,84,-551,1.2
EAW,1906,85,-526,1.16
EAW,1906,86,-486,1.18
EAW,1906,87,-436,1.17
EAW,1906,88,-377,1.15
EAW,1906,89,-314,1.16
EAW,1906,90,-263,1.16
EAW,1906,91,-212,1.16
EAW,1906,92,-163,1.17
EAW,1906,93,-128,1.18
EAW,1906,94,-100,1.2
EAW,1906,95,-73,1.2
EAW,1906,96,-52,1.17
EAW,1906,97,-37,1.12
EAW,1906,98,-25,1.07
EAW,1906,99,-16,1.09
EAW,1906,100,-11,1.16
EAW,1907,0,13874,1.27
EAW,1907,1,992,1.06
EAW,1907,2,264,1.04
EAW,1907,3,158,1.04
EAW,1907,4,-257,0.91
EAW,1907,5,-232,0.89
EAW,1907,6,-85,0.95
EAW,1907,7,11,1.01
EAW,1907,8,58,1.07
EAW,1907,9,53,1.08
EAW,1907,10,10,1.02
EAW,1907,11,-27,0.96
EAW,1907,12,-47,0.94
EAW,1907,13,-50,0.94
EAW,1907,14,-35,0.97
EAW,1907,15,-7,1.01
EAW,1907,16,20,1.05
EAW,1907,17,40,1.09
EAW,1907,18,55,1.13
EAW,1907,19,63,1.15
EAW,1907,20,67,1.16
EAW,1907,21,70,1.16
EAW,1907,22,73,1.16
EAW,1907,23,76,1.15
EAW,1907,24,80,1.14
EAW,1907,25,83,1.14
EAW,1907,26,87,1.17
EAW,1907,27,91,1.19
EAW,1907,28,97,1.18
EAW,1907,29,103,1.18
EAW,1907,30,110,1.18
EAW,1907,31,118,1.18
EAW,1907,32,126,1.18
EAW,1907,33,135,1.19
EAW,1907,34,145,1.2
EAW,1907,35,156,1.2
EAW,1907,36,168,1.2
EAW,1907,37,182,1.19
EAW,1907,38,197,1.2
EAW,1907,39,213,1.23
EAW,1907,40,231,1.24
EAW,1907,41,250,1.22
EAW,1907,42,271,1.23
EAW,1907,43,293,1.25
EAW,1907,44,316,1.27
EAW,1907,45,341,1.27
EAW,1907,46,364,1.27
EAW,1907,47,385,1.27
EAW,1907,48,405,1.28
EAW,1907,49,422,1.31
EAW,1907,50,438,1.32
EAW,1907,51,452,1.31
EAW,1907,52,464,1.3
EAW,1907,53,475,1.31
EAW,1907,54,483,1.32
EAW,1907,55,489,1.33
EAW,1907,56,487,1.32
EAW,1907,57,477,1.3
EAW,1907,58,459,1.28
EAW,1907,59,433,1.29
EAW,1907,60,398,1.3
EAW,1907,61,355,1.3
EAW,1907,62,303,1.28
EAW,1907,63,243,1.25
EAW,1907,64,175,1.23
EAW,1907,65,100,1.21
EAW,1907,66,26,1.21
EAW,1907,67,-48,1.21
EAW,1907,68,-120,1.22
EAW,1907,69,-191,1.23
EAW,1907,70,-260,1.21
EAW,1907,71,-328,1.2
EAW,1907,72,-394,1.2
EAW,1907,73,-459,1.18
EAW,1907,74,-522,1.16
EAW,1907,75,-583,1.16
EAW,1907,76,-633,1.15
EAW,1907,77,-670,1.13
EAW,1907,78,-696,1.12
EAW,1907,79,-709,1.13
EAW,1907,80,-710,1.16
EAW,1907,81,-700,1.15
EAW,1907,82,-676,1.15
EAW,1907,83,-641,1.17
EAW,1907,84,-594,1.2
EAW,1907,85,-568,1.14
EAW,1907,86,-517,1.14
EAW,1907,87,-467,1.16
EAW,1907,88,-411,1.16
EAW,1907,89,-349,1.14
EAW,1907,90,-286,1.14
EAW,1907,91,-235,1.15
EAW,1907,92,-186,1.15
EAW,1907,93,-141,1.16
EAW,1907,94,-109,1.18
EAW,1907,95,-84,1.21
EAW,1907,96,-60,1.2
EAW,1907,97,-42,1.15
EAW,1907,98,-30,1.07
EAW,1907,99,-20,0.98
EAW,1907,100,-13,1.01
EAW,1908,0,13934,1.25
EAW,1908,1,1223,1.08
EAW,1908,2,311,1.05
EAW,1908,3,77,1.02
EAW,1908,4,4,1
EAW,1908,5,-22,0.99
EAW,1908,6,-23,0.99
EAW,1908,7,-26,0.98
EAW,1908,8,-30,0.97
EAW,1908,9,-36,0.96
EAW,1908,10,-42,0.95
EAW,1908,11,-42,0.94
EAW,1908,12,-36,0.95
EAW,1908,13,-23,0.97
EAW,1908,14,-2,1.01
EAW,1908,15,23,1.05
EAW,1908,16,45,1.08
EAW,1908,17,60,1.1
EAW,1908,18,71,1.13
EAW,1908,19,75,1.16
EAW,1908,20,75,1.18
EAW,1908,21,74,1.18
EAW,1908,22,73,1.18
EAW,1908,23,73,1.17
EAW,1908,24,72,1.15
EAW,1908,25,72,1.15
EAW,1908,26,74,1.14
EAW,1908,27,79,1.16
EAW,1908,28,85,1.18
EAW,1908,29,94,1.17
EAW,1908,30,104,1.18
EAW,1908,31,117,1.18
EAW,1908,32,133,1.19
EAW,1908,33,150,1.2
EAW,1908,34,170,1.21
EAW,1908,35,191,1.23
EAW,1908,36,211,1.23
EAW,1908,37,230,1.24
EAW,1908,38,247,1.24
EAW,1908,39,262,1.25
EAW,1908,40,276,1.27
EAW,1908,41,288,1.28
EAW,1908,42,299,1.25
EAW,1908,43,308,1.25
EAW,1908,44,316,1.27
EAW,1908,45,322,1.27
EAW,1908,46,330,1.27
EAW,1908,47,340,1.25
EAW,1908,48,352,1.25
EAW,1908,49,365,1.26
EAW,1908,50,381,1.28
EAW,1908,51,398,1.29
EAW,1908,52,417,1.29
EAW,1908,53,439,1.28
EAW,1908,54,462,1.3
EAW,1908,55,485,1.32
EAW,1908,56,500,1.33
EAW,1908,57,506,1.33
EAW,1908,58,502,1.32
EAW,1908,59,489,1.3
EAW,1908,60,466,1.31
EAW,1908,61,434,1.32
EAW,1908,62,391,1.32
EAW,1908,63,340,1.3
EAW,1908,64,278,1.27
EAW,1908,65,209,1.25
EAW,1908,66,138,1.23
EAW,1908,67,67,1.23
EAW,1908,68,-4,1.24
EAW,1908,69,-75,1.26
EAW,1908,70,-147,1.26
EAW,1908,71,-218,1.24
EAW,1908,72,-289,1.23
EAW,1908,73,-360,1.22
EAW,1908,74,-432,1.2
EAW,1908,75,-501,1.18
EAW,1908,76,-560,1.18
EAW,1908,77,-606,1.17
EAW,1908,78,-639,1.15
EAW,1908,79,-660,1.14
EAW,1908,80,-668,1.18
EAW,1908,81,-663,1.18
EAW,1908,82,-646,1.18
EAW,1908,83,-616,1.18
EAW,1908,84,-573,1.21
EAW,1908,85,-574,1.15
EAW,1908,86,-517,1.14
EAW,1908,87,-464,1.14
EAW,1908,88,-413,1.17
EAW,1908,89,-358,1.16
EAW,1908,90,-298,1.13
EAW,1908,91,-240,1.13
EAW,1908,92,-194,1.14
EAW,1908,93,-151,1.13
EAW,1908,94,-112,1.14
EAW,1908,95,-84,1.17
EAW,1908,96,-63,1.22
EAW,1908,97,-45,1.21
EAW,1908,98,-30,1.13
EAW,1908,99,-21,0.98
EAW,1908,100,-14,0.84
EAW,1909,0,12622,1.26
EAW,1909,1,956,1.07
EAW,1909,2,569,1.1
EAW,1909,3,-90,0.97
EAW,1909,4,-1,1
EAW,1909,5,16,1.01
EAW,1909,6,-29,0.98
EAW,1909,7,-61,0.95
EAW,1909,8,-81,0.91
EAW,1909,9,-88,0.89
EAW,1909,10,-83,0.89
EAW,1909,11,-71,0.9
EAW,1909,12,-54,0.93
EAW,1909,13,-31,0.96
EAW,1909,14,-2,1
EAW,1909,15,31,1.05
EAW,1909,16,57,1.09
EAW,1909,17,74,1.11
EAW,1909,18,84,1.13
EAW,1909,19,84,1.16
EAW,1909,20,78,1.17
EAW,1909,21,72,1.18
EAW,1909,22,66,1.18
EAW,1909,23,62,1.18
EAW,1909,24,58,1.16
EAW,1909,25,56,1.15
EAW,1909,26,56,1.14
EAW,1909,27,58,1.14
EAW,1909,28,62,1.15
EAW,1909,29,69,1.16
EAW,1909,30,78,1.15
EAW,1909,31,89,1.16
EAW,1909,32,103,1.17
EAW,1909,33,118,1.17
EAW,1909,34,136,1.18
EAW,1909,35,156,1.2
EAW,1909,36,176,1.21
EAW,1909,37,196,1.21
EAW,1909,38,216,1.22
EAW,1909,39,236,1.22
EAW,1909,40,255,1.23
EAW,1909,41,275,1.26
EAW,1909,42,294,1.27
EAW,1909,43,313,1.25
EAW,1909,44,333,1.26
EAW,1909,45,351,1.28
EAW,1909,46,368,1.29
EAW,1909,47,384,1.29
EAW,1909,48,397,1.28
EAW,1909,49,409,1.27
EAW,1909,50,418,1.28
EAW,1909,51,426,1.3
EAW,1909,52,432,1.31
EAW,1909,53,436,1.29
EAW,1909,54,438,1.28
EAW,1909,55,438,1.28
EAW,1909,56,432,1.3
EAW,1909,57,420,1.29
EAW,1909,58,402,1.28
EAW,1909,59,378,1.26
EAW,1909,60,347,1.24
EAW,1909,61,311,1.24
EAW,1909,62,269,1.26
EAW,1909,63,220,1.26
EAW,1909,64,165,1.24
EAW,1909,65,105,1.22
EAW,1909,66,43,1.2
EAW,1909,67,-20,1.19
EAW,1909,68,-86,1.2
EAW,1909,69,-152,1.22
EAW,1909,70,-220,1.23
EAW,1909,71,-290,1.24
EAW,1909,72,-361,1.23
EAW,1909,73,-433,1.21
EAW,1909,74,-507,1.2
EAW,1909,75,-580,1.18
EAW,1909,76,-641,1.16
EAW,1909,77,-689,1.16
EAW,1909,78,-722,1.15
EAW,1909,79,-742,1.14
EAW,1909,80,-748,1.17
EAW,1909,81,-740,1.17
EAW,1909,82,-718,1.18
EAW,1909,83,-682,1.18
EAW,1909,84,-632,1.19
EAW,1909,85,-611,1.15
EAW,1909,86,-548,1.16
EAW,1909,87,-481,1.15
EAW,1909,88,-422,1.16
EAW,1909,89,-366,1.2
EAW,1909,90,-309,1.21
EAW,1909,91,-251,1.17
EAW,1909,92,-197,1.2
EAW,1909,93,-155,1.22
EAW,1909,94,-118,1.22
